_bin,p_run,n,bin_center,ci_lo,ci_hi
"(-0.669, -0.205]",0.29850746268656714,134,-0.437,0.22752361778533114,0.3807223689124437
"(-0.205, -0.132]",0.2932330827067669,133,-0.16849999999999998,0.22254052641165156,0.37553491263612326
"(-0.132, -0.0736]",0.38345864661654133,133,-0.1028,0.30519662302307843,0.4682640789856673
"(-0.0736, -0.0326]",0.3308270676691729,133,-0.053099999999999994,0.2565988210561916,0.41455381089198784
"(-0.0326, 0.0]",0.24630541871921183,203,-0.0163,0.1921103855057392,0.309924021499428
"(0.0, 0.0206]",0.3492063492063492,63,0.0103,0.24325819396354187,0.4724876888399816
"(0.0206, 0.0685]",0.3458646616541353,133,0.044550000000000006,0.2703788520200599,0.43000465708828134
"(0.0685, 0.129]",0.40601503759398494,133,0.09875,0.32632903795153656,0.49097797979745195
"(0.129, 0.231]",0.3609022556390977,133,0.18,0.28424408653110655,0.4453702997373965
"(0.231, 0.737]",0.30597014925373134,134,0.484,0.23425809207841558,0.38849730251944176
