_bin,p_run,n,bin_center,ci_lo,ci_hi
"(-0.441, -0.0594]",0.2835820895522388,134,-0.2502,0.21412535538900854,0.36510181550860155
"(-0.0594, -0.0362]",0.2631578947368421,133,-0.0478,0.1957272138754272,0.343886470852024
"(-0.0362, -0.024]",0.41353383458646614,133,-0.030100000000000002,0.33341222192525477,0.4985102344038146
"(-0.024, -0.0112]",0.3458646616541353,133,-0.0176,0.2703788520200599,0.43000465708828134
"(-0.0112, 6.85e-05]",0.3383458646616541,133,-0.0055657499999999995,0.2634780244474995,0.42229004608076076
"(6.85e-05, 0.0111]",0.3458646616541353,133,0.005584250000000001,0.2703788520200599,0.43000465708828134
"(0.0111, 0.0224]",0.3082706766917293,133,0.01675,0.23609463056882224,0.3912116856391144
"(0.0224, 0.0398]",0.3082706766917293,133,0.031100000000000003,0.23609463056882224,0.3912116856391144
"(0.0398, 0.0671]",0.40601503759398494,133,0.053450000000000004,0.32632903795153656,0.49097797979745195
"(0.0671, 0.536]",0.2537313432835821,134,0.30155000000000004,0.18762712268306203,0.33356241661421837
