episode_id,wasted_tumble_pos,wasted_run_neg,ambiguous
1,2,0,14
2,0,0,17
3,1,0,17
4,3,0,14
5,0,0,3
6,0,0,18
9,1,0,18
10,1,0,18
11,0,0,1
12,1,0,3
13,1,0,2
14,1,2,14
15,1,0,14
16,1,0,17
17,1,0,18
18,0,0,19
19,1,1,15
20,1,0,6
21,0,0,17
22,0,0,1
23,0,0,19
24,2,0,15
25,1,0,3
26,0,1,17
27,1,0,16
28,2,0,15
29,0,0,8
30,3,1,13
31,1,0,13
32,1,0,9
33,0,0,1
34,0,0,4
35,2,0,13
36,2,0,16
37,0,0,18
38,0,0,16
40,2,0,16
41,0,0,19
42,1,0,10
43,1,0,18
44,0,0,19
45,2,0,8
46,0,1,18
47,3,3,9
48,0,0,16
49,0,0,1
52,1,1,17
53,0,0,1
54,2,0,16
55,0,0,16
56,0,1,17
57,0,0,17
59,0,0,19
60,0,0,16
61,1,0,18
62,1,1,17
63,2,2,13
64,3,2,9
65,1,1,17
66,0,0,18
68,0,0,3
69,1,0,17
70,1,0,17
72,2,0,16
73,1,0,17
74,0,0,17
77,0,0,1
79,1,0,2
80,1,1,14
81,1,0,9
82,0,0,18
83,0,1,15
84,3,1,12
85,1,0,12
86,0,0,17
87,0,0,3
88,0,0,17
89,2,2,15
90,0,0,4
91,1,0,18
92,1,0,15
93,1,0,16
94,2,0,15
95,1,0,16
96,1,1,14
97,0,0,18
98,0,0,1
99,0,1,18
