_bin,mean_run_len,median_run_len,n,std_run_len,sem,ci_lo,ci_hi,bin_center
"(-0.392, -0.165]",1.1666666666666667,1.0,30,0.5306686305052324,0.09688639316269664,0.9767693360677814,1.356563997265552,-0.2785
"(-0.165, -0.108]",1.3,1.0,30,0.5349830806219241,0.09767410038007758,1.108558763255048,1.491441236744952,-0.1365
"(-0.108, -0.0586]",1.5517241379310345,1.0,29,0.909717652294684,0.16893032708849504,1.2206206968375843,1.8828275790244846,-0.0833
"(-0.0586, -0.0305]",1.3333333333333333,1.0,30,0.5466722735905339,0.09980824526939037,1.1377091726053281,1.5289574940613384,-0.04455
"(-0.0305, 0.00386]",1.3448275862068966,1.0,29,0.6695340634119862,0.12432935432634447,1.1011420517272614,1.5885131206865317,-0.01332
"(0.00386, 0.0312]",1.7,1.0,30,1.0875470659652646,0.19855802012591145,1.3108262805532136,2.0891737194467863,0.01753
"(0.0312, 0.0599]",1.4827586206896552,1.0,29,0.6876819060735032,0.1276993241065588,1.2324679454408,1.7330492959385104,0.04555
"(0.0599, 0.105]",1.3,1.0,30,0.5959634332684377,0.10880753861644936,1.0867372243117592,1.5132627756882409,0.08245
"(0.105, 0.177]",1.2758620689655173,1.0,29,0.4548588261473421,0.08446516354424753,1.1103103484187922,1.4414137895122425,0.141
"(0.177, 0.511]",1.2,1.0,30,0.6102571532587293,0.11141720290623111,0.981622282303787,1.418377717696213,0.344
